Year Mo Da Ho Mi Se,Epicentral area,NMDP,Lat,Lon,Io,Mw
1591 05 24,Reggio nell'Emilia,1,44.698,10.631,6,4.63
1591 07 10,Romagna,6,44.401,12.035,06/07/20,5.13
1592 11 24,Valle Umbra,1,42.877,12.747,7,5.1
1593 04 23,Bacino di Gubbio,7,43.31,12.421,07/08/20,5.33
1594 10 03,Ferrara,1,44.835,11.62,5,4.16
1595 10 30,Gubbio,1,43.351,12.577,05/06/20,4.4
1597 03 05,Monti Martani,2,42.778,12.466,6,4.63
1597 08 03 23 40,Mugello,24,43.987,11.429,07/08/20,5.28
1599 11 06 01 25,Valnerina,20,42.724,13.021,9,6.07
1599 11 16,Casentino,2,43.774,11.716,7,5.1
1600 07 06,Firenze,1,43.773,11.257,6,4.63
1600 10 28,Reggio nell'Emilia,1,44.698,10.631,07/08/20,5.33
1603 01 25,Siena,1,43.318,11.332,05/06/20,4.4
1607 12 31,Reggio nell'Emilia,1,44.698,10.631,5,4.16
1608 01 06 22 20,Reggio nell'Emilia,2,44.698,10.631,05/06/20,4.4
1609,Valdelsa,3,43.421,11.114,05/06/20,4.4
1611 09 08 22 10,Mugello,4,44.01,11.359,7,5.1
1612 10 14,Appennino umbro-marchigiano,7,43.246,12.853,7,5.11
1614 08,Perugia,1,43.112,12.389,06/07/20,4.86
1616,Sabina,1,,,,
1617 03 23,Jesi,2,43.522,13.245,05/06/20,4.4
1619 07 07 22,Aquilano,5,42.526,13.296,07/08/20,5.33
1620 06 22,Ravennate,2,44.517,12.017,06/07/20,4.86
1624 03 19,Argenta,18,44.642,11.848,07/08/20,5.43
1625 12 05,Rimini,1,44.059,12.568,6,4.63
1626 05 12,Macerata,1,43.3,13.453,7,5.1
1627 07,Monti della Laga,1,42.694,13.248,07/08/20,5.33
1630 05,Pistoiese,1,43.903,10.69,05/06/20,4.4
1631 02 25,Appennino umbro-marchigiano,1,43.052,12.855,7,5.1
1638 04,Siena,1,43.318,11.332,05/06/20,4.4
1639 04 06,Finale Emilia,1,44.833,11.294,07/08/20,5.33
1639 10 07,Monti della Laga,39,42.639,13.261,09/10/20,6.21
1639 10 15 00 30,Monti della Laga,,,,,
1644 05 09,Frignano,1,44.245,10.952,06/07/20,4.86
1646 04 05 16 15,Livorno,2,43.551,10.309,6,4.63
1646 04 28 07,Monti della Laga,10,42.615,13.247,9,5.9
1646 06 19 03,L'Aquila,1,42.351,13.399,06/07/20,4.86
1647 05 17,Viterbese,4,42.415,12.143,05/06/20,4.82
1648 01 01,Spoleto,1,42.736,12.737,06/07/20,4.86
1648 01 13 18,Pistoia,1,43.933,10.915,05/06/20,4.4
1653 04 19 04 15,Reggiano,4,44.814,10.504,05/06/20,4.4
1653 08 15,Romagna,3,44.216,12.055,05/06/20,4.4
1655 02 03,Spoleto,2,42.736,12.737,06/07/20,4.86
1655 03 25,Appennino forlivese,1,44.06,11.842,6,4.63
1661 03 21 23,Modenese,4,44.734,10.863,06/07/20,4.86
1661 03 22 12 50,Appennino forlivese,79,44.021,11.898,9,6.05
1666 04 14 18 58,Bolognese,3,44.639,11.114,5,4.16
1667,Spoleto,1,42.736,12.737,7,5.1
1668 08 22,Alta Valtiberina,2,43.514,12.19,5,4.16
1671 06 20 10,Modenese-Reggiano,8,44.674,10.866,7,5.27
1672 04 14 15 45,Riminese,92,43.941,12.576,8,5.59
1672 06 08 17 30,Monti della Laga,10,42.569,13.302,07/08/20,5.33
1678 07 15,Ferrara,1,44.835,11.62,5,4.16
1679 03 24 11 30,Val d'Orcia,4,43.136,11.665,06/07/20,4.86
1685,Valle del Metauro,2,43.662,12.541,04/05/20,3.93
1688 04 11 12 20,Romagna,39,44.39,11.942,08/09/20,5.84
1688 08 19 05 45,Faentino,1,44.288,11.881,5,4.16
1689,Montefeltro,1,43.664,12.411,7,5.1
1689 03 19,Faentino,3,44.281,12.107,4,3.7
1689 04,Valle Umbra,2,42.877,12.747,6,4.63
1689 07 21 09,Reatino,1,42.415,13.076,5,4.16
1689 07 21 11,Reatino,1,42.415,13.076,7,5.1
1690 01 26,Valle Umbra,3,42.916,12.726,6,4.63
1690 02 03 02 30,Valle Umbra,1,42.955,12.704,05/06/20,4.4
1690 03 22 21 50,Alta Valtiberina,1,43.457,12.239,06/07/20,4.86
1690 12 23 00 20,Costa anconetana,16,43.55,13.594,8,5.58
1692 10 23 20 10,Costa pesarese,2,43.837,13.018,5,4.16
1693 02 22 08 30,Alta Valtiberina,2,43.442,12.436,5,4.16
1693 10 12,Bacino di Gubbio,2,43.351,12.577,5,4.16
1693 10 15,Bacino di Gubbio,6,43.282,12.635,06/07/20,4.85
1694 01,Bacino di Gubbio,3,43.351,12.577,6,4.63
1694 04 08,Alta Valtiberina,6,43.62,12.091,07/08/20,5.4
1695 02 28,Ferrara,1,44.835,11.62,05/06/20,4.4
1695 06 11 02 30,Lazio settentrionale,50,42.613,12.11,08/09/20,5.8
1697 06 18,Val di Pesa,2,43.67,11.09,05/06/20,4.4
1697 09 20 15 50,Siena,2,43.318,11.332,05/06/20,4.4
1697 09 20 16 50,Siena,2,43.318,11.332,06/07/20,4.86
1697 09 30 12 15,Siena,2,43.318,11.332,06/07/20,4.86
1697 10 01,Siena,2,43.318,11.332,6,4.63
1697 10 28 01,Siena,2,43.318,11.332,6,4.63
1697 12 20 19 45,Siena,2,43.318,11.332,6,4.63
1698 12,Anconetano,2,43.619,13.513,6,4.63
1699 05 07,Viterbese,2,42.416,12.107,4,3.7
1699 05 09,Viterbese,4,42.388,12.177,05/06/20,4.4
1700 02 05,Val d'Orcia,4,42.871,11.668,06/07/20,4.86
1702 10 18,Valnerina,5,42.755,13.053,5,4.16
1702 11 14,Valnerina,2,42.837,12.858,05/06/20,4.4
1703 01 14 18,Valnerina,197,42.708,13.071,11,6.92
1703 01 16 13 30,Appennino laziale-abruzzese,22,,,,
1703 02 02 11 05,Aquilano,69,42.434,13.292,10,6.67
1703 05 25,Sabina,3,,,,
1703 06 29 18,Valnerina,3,42.749,12.948,05/06/20,4.4
1703 09 16 17,Faentino,1,44.288,11.881,6,4.63
1704 05 20,Valnerina,3,42.793,13.094,5,4.16
1705 04 14 19 20,Senese,2,43.318,11.332,4,3.7
1707 03 24,Monti Martani,8,42.699,12.617,07/08/20,5.21
1712 03 28,Appennino umbro-marchigiano,3,43.513,12.734,06/07/20,4.86
1714,Narni,1,42.517,12.521,07/08/20,5.33
1716 10 04,Valnerina,1,42.718,13.013,06/07/20,4.86
1716 11,Adriatico meridionale,5,,,,
1717 03 31,Costa pesarese,1,43.91,12.91,5,4.16
1718 08 18,Maceratese,4,43.3,13.453,05/06/20,4.4
1719 06 27 06 30,Valnerina,16,42.876,13.047,8,5.59
1720 01 10,Toscana settentrionale,3,44.037,10.142,04/05/20,3.93
1721 06 18,Appennino umbro-marchigiano,1,43.052,12.855,7,5.1
1724 12 11 20,Colline Metallifere,5,43.206,11.008,7,5.1
1725 04 17 13,Appennino umbro-marchigiano,8,43.564,12.487,05/06/20,4.8
1725 04 18 13,Appennino umbro-marchigiano,1,43.457,12.239,5,4.16
1725 10 29 17 40,Appennino tosco-emiliano,28,44.207,11.573,8,5.67
1726 01 28 21,Appennino bolognese,1,44.359,11.63,06/07/20,4.86
1726 04 19 22,Crete Senesi,5,43.242,11.51,07/08/20,5.33
1726 09 23,Bacino di Gubbio,13,43.309,12.546,6,4.85
1727 03 09 11,Mugello,6,44.057,11.367,06/07/20,4.93
1727 12 14 19 45,Valle del Metauro,32,43.61,12.819,7,5.24
1728 02 04 03,Bolognese,2,44.398,11.59,05/06/20,4.4
1729 06 23,Casentino,7,43.773,11.486,6,4.63
1730 03 29 00 05,Versilia,4,43.877,10.272,4,3.7
1730 05 12 05,Valnerina,115,42.753,13.12,9,6.04
1730 10 23,Bacino di Gubbio,9,43.282,12.619,06/07/20,4.86
1731 03 29,Alta Valtiberina,9,43.67,12.041,6,4.76
1731 12 09,Appennino pistoiese,3,43.933,10.915,4,3.7
1731 12 23,Appennino pistoiese,2,43.933,10.915,4,3.7
1732 05 21,Livorno,2,43.551,10.309,04/05/20,3.93
1732 08 09,Romagna,3,44.288,11.878,6,4.63
1733 10 19 03 30,Anconetano,4,43.666,13.368,04/05/20,3.93
1733 10 20,Anconetano,1,43.619,13.513,05/06/20,4.4
1737 06 11 00 30,Val di Pesa,4,43.563,11.166,5,4.16
1738 07 19 01,Lazio settentrionale,2,42.626,12.095,06/07/20,4.86
1739 07 16 05,Mugello,2,,,,
1739 07 31 11,Bologna,1,44.494,11.343,05/06/20,4.4
1740 03 06 05 40,Garfagnana,32,44.074,10.489,8,5.64
1740 06,Valle Umbra,2,42.893,12.652,04/05/20,3.93
1740 07 13,Appennino umbro-marchigiano,2,43.313,12.761,6,4.63
1741 04 24 09 20,Fabrianese,135,43.425,13.005,9,6.17
1741 10 01,Siena,1,43.318,11.332,7,5.1
1742,Marsica,1,42.084,13.546,05/06/20,4.4
1742 01 27 11 20,Livornese,16,43.551,10.309,6,4.87
1742 04,Marsica,1,42.084,13.546,5,4.16
1742 05,Marsica,1,42.084,13.546,5,4.16
1742 06 10 01,Appennino marchigiano,2,43.434,12.858,05/06/20,4.4
1743,Marsica,3,42.046,13.454,05/06/20,4.4
1743 01 21 21 55,Lazio settentrionale,22,42.614,12.074,7,5.01
1743 05 29,Ferrara,1,44.835,11.62,06/07/20,4.86
1744,Appennino modenese,1,44.245,10.952,06/07/20,4.86
1744 05 25,Costa pesarese,5,43.82,13.05,5,4.59
1745 03,Valle Umbra,2,42.736,12.737,7,5.1
1746 07 19 09 35,Garfagnana,,,,,
1746 07 20 09 35,Garfagnana,,,,,
1746 07 23 18 15,Garfagnana,10,44.091,10.448,7,5.15
1747 01 26,Appennino umbro-marchigiano,2,43.23,12.785,05/06/20,4.4
1747 04 17,Appennino umbro-marchigiano,63,43.204,12.769,9,6.05
1747 09 22,Appennino umbro-marchigiano,11,43.255,12.826,07/08/20,5.42
1748 07 25,Appennino umbro-marchigiano,1,43.113,12.788,05/06/20,4.4
1748 09 10 23 40,Colli Albani,3,41.826,12.606,05/06/20,4.4
1750 02 01,Aquilano,1,42.351,13.399,06/07/20,4.86
1750 02 08,Colli Albani,6,41.86,12.656,5,4.5
1751 06 11,Ternano,8,42.595,12.593,7,5.12
1751 07 27 01,Appennino umbro-marchigiano,66,43.225,12.739,10,6.38
1751 09 25,Umbria,1,,,,
1751 10 03,Appennino umbro-marchigiano,1,43.135,13.068,05/06/20,4.4
1752 01 02,Valnerina,4,42.623,12.778,06/07/20,4.86
1752 07 13 21 40,Appennino umbro-marchigiano,11,43.305,12.798,5,4.61
1752 08,Appennino umbro-marchigiano,1,43.457,12.239,4,3.7
1753 04 22,Appennino forlivese,3,43.983,11.92,06/07/20,4.86
1753 05 26,Ternano,5,42.613,12.547,6,4.8
1754 06 08 05 05,Colli Albani,8,41.778,12.764,5,4.47
1755 11 01 17,Val di Paglia,2,42.742,11.868,05/06/20,4.4
1756 10 06 20,Costa pesarese,7,43.899,12.84,04/05/20,3.93
1759 08,Monti Simbruini,1,41.884,13.097,05/06/20,4.4
1759 03 18,Pistoia,1,43.933,10.915,5,4.16
1759 06 14,Lazio settentrionale,2,42.612,12.133,5,4.16
1760 01 12,Valnerina,6,43.059,13.311,05/06/20,4.4
1761 06 10 00 10,Appennino forlivese,2,43.946,11.909,4,3.7
1761 06 20 22,Appennino forlivese,2,43.834,11.96,6,4.63
1762 04 15 18,Mugello,12,44.004,11.506,7,5.14
1762 10 06,Aquilano,13,42.308,13.585,8,5.54
1766 01,Valle dell'Aniene,1,41.918,13.11,06/07/20,4.86
1766 05 06,Valdelsa,5,43.541,10.942,4,3.7
1766 12 24 12 24,Valnerina,2,42.874,12.899,6,4.63
1767 01 21 07 45,Lunigiana,10,44.138,10.133,7,5.27
1767 01 21 09,Lunigiana,7,44.238,10.124,05/06/20,4.6
1767 06 05 01 30,Valle Umbra,10,42.821,12.751,07/08/20,5.45
1767 09 02,Valle Umbra,2,42.736,12.737,05/06/20,4.4
1768 10 19 23,Appennino forlivese,45,43.943,11.904,9,5.99
1768 11 30 11 30,Valdelsa,4,43.565,10.946,5,4.16
1770 12 27 04,Valdarno superiore,5,43.701,11.409,06/07/20,4.86
1771 01 08 03 30,Livorno,2,43.551,10.309,05/06/20,4.4
1771 07 27 22 45,Mugello,2,43.946,11.318,5,4.16
1771 07 27 23,Mugello,2,44.119,11.379,5,4.16
1771 07 29,Mugello,1,44.119,11.379,5,4.16
1771 08 13 08 13,Appennino bolognese,1,44.141,11.161,6,4.63
1772 10 12,Alta Valtiberina,1,43.57,12.141,6,4.63
1773 03,Colli Albani,1,41.839,12.831,06/07/20,4.86
1773 06 22 06 22,Colli Albani,1,41.72,12.671,5,4.16
1774 01 31 19 30,Alta Valtiberina,3,43.61,12.128,6,4.63
1774 05 15,Monte Amiata,1,42.831,11.586,6,4.63
1775 01 04 18,Appennino emiliano,6,44.647,10.926,4,4.43
1775 01 05 22 45,Appennino emiliano,7,44.238,10.124,5,4.55
1776 03 29,Appennino laziale-abruzzese,2,,,,
1777 10 05 15 45,Val di Paglia,11,42.88,11.757,7,5.14
1778 01 04 16 30,Ancona,1,43.619,13.513,6,4.63
1778 01 24 07 45,Marsica,6,42.153,13.534,06/07/20,4.86
1778 02 18 02 18,Lunigiana,2,44.175,10.182,04/05/20,3.93
1778 06 11,Forlì,2,44.222,12.04,05/06/20,4.4
1778 08 03,Alta Valtiberina,1,43.57,12.141,6,4.63
1779 06 01 23 55,Bolognese,8,,,,
1779 06 02 07 30,Bolognese,3,,,,
1779 06 04 07,Bolognese,12,44.443,11.479,7,5.22
1779 06 10 08 35,Bolognese,10,,,,
1779 06 26 12,Siena,2,43.318,11.332,5,4.16
1779 07 14 19 30,Bolognese,17,,,,
1779 08 20 10 50,Bolognese,2,44.459,11.39,5,4.16
1779 11 23 18 30,Bolognese,14,44.424,11.529,5,4.7
1779 12 24 17,Appennino pistoiese,9,44.061,10.86,05/06/20,4.59
1779 12 31 16,Appennino pistoiese,3,44.03,10.821,5,4.16
1780 02 06 04,Bolognese,9,44.567,11.31,06/07/20,5.06
1780 05 25,Romagna,5,44.418,12.197,05/06/20,4.4
1780 09 22 13 45,Forlivese,3,44.237,11.765,04/05/20,3.93
1781 01 03 02 30,Crete Senesi,22,43.171,11.537,07/08/20,5.19
1781 01 06 15,Crete Senesi,1,43.058,11.606,5,4.16
1781 01 11,Crete Senesi,4,43.287,11.746,06/07/20,4.86
1781 02 25 02 25,Colli Albani,1,41.72,12.671,5,4.16
1781 04 04 21 20,Faentino,96,44.251,11.798,09/10/20,6.12
1781 06 03,Cagliese,157,43.596,12.512,10,6.51
1781 06 03 06 35,Appennino marchigiano,,,,,
1781 07 17 09 40,Faentino,46,44.268,11.987,8,5.61
1782 09 24,Colli Albani,3,41.815,12.716,6,4.63
1783 06 29,Casentino,4,43.774,11.716,05/06/20,4.4
1784 04 06 23,Colli Albani,8,41.756,12.685,5,4.4
1785 05 03 02 30,Appennino umbro-marchigiano,11,43.073,12.955,7,5.1
1785 10 02 21 10,Monti Reatini,,,,,
1785 10 03 00 30,Monti Tiburtini,6,41.964,12.798,05/06/20,4.5
1785 10 09 03 15,Monti Reatini,33,42.536,12.788,08/09/20,5.76
1786 01 15,Bacino di Gubbio,1,43.351,12.577,7,5.1
1786 01 17,Bacino di Gubbio,4,43.361,12.553,05/06/20,4.44
1786 07 31,Aquilano,7,42.351,13.399,6,4.89
1786 12 25 01,Riminese,90,43.991,12.565,8,5.66
1787 07 16 10,Ferrara,3,44.835,11.62,05/06/20,4.4
1787 07 26 07 15,Ferrara,1,44.835,11.62,06/07/20,4.86
1787 10 20 13 30,Siena,1,43.318,11.332,4,3.7
1787 10 21 12 30,Siena,1,43.318,11.332,5,4.16
1787 10 21 23,Siena,1,43.318,11.332,5,4.16
1787 10 23 05,Siena,1,43.318,11.332,5,4.16
1787 12 26,Casentino,6,43.723,11.767,05/06/20,4.4
1787 12 26 15 10,Casentino,2,,,,
