Year Mo Da Ho Mi Se,Epicentral area,NMDP,Lat,Lon,Io,Mw
1893 04 01 07 09,Etna - Zafferana Etnea,8,37.685,15.056,06/07/20,3.47
1893 04 22 03 20,Monti Nebrodi,33,38.001,15.028,06/07/20,4.83
1893 05 11 14 10 34.00,Isola di Ustica,15,38.363,13.288,5,4.59
1894 02 20,Monti Peloritani ?,16,37.926,15.076,5,4.33
1894 03 16 03 32,Isola di Pantelleria,1,36.829,11.943,05/06/20,4.4
1894 08 03 06 29 26.00,Salina,3,38.562,14.873,4,3.7
1894 08 07 12 58,Etna - Zerbate (Aci S. Antonio),12,37.654,15.109,6,3.19
1894 08 08 05 16,Etna - Mazzasette (Acireale),45,37.653,15.11,08/09/20,4.59
1894 11 16 17 52,Calabria meridionale,303,38.288,15.87,9,6.12
1894 12 27,Filicudi,12,38.56,14.581,6,4.99
1895 03 09 22 04,Tirreno meridionale,7,38.379,15.506,5,4.67
1895 04 13 15 01,Monti Iblei ?,32,37.075,14.694,06/07/20,4.82
1895 07 26 17 44,Calabria meridionale,14,38.286,15.858,5,4.32
1895 11 18 16 32,Oppido Mamertina,17,38.234,15.769,5,4.61
1896 03 18 20 45,Etna - Fossa Dell'Acqua (Acireale),4,37.619,15.138,05/06/20,2.91
1896 04 01 07 18 34.00,Calabria meridionale,11,38.174,15.756,5,4.27
1896 07 02 00 30,Stretto di Sicilia,7,36.977,14.889,4,3.99
1896 09 17 14 51,Calabria meridionale,11,38.211,16.039,5,4.38
1896 12 19 21 18,Etna - S. Tecla (Acireale),4,37.638,15.175,05/06/20,2.91
1897 05 15 13 42 30.00,Tirreno meridionale,85,38.412,13.278,5,4.52
1898 05 14 04 45,Etna - S. Maria Licodia,35,37.615,14.889,07/08/20,4.03
1898 08 12,Sicilia nord-orientale,69,38.181,15.386,06/07/20,4.82
1898 09 17 14 26,Monforte San Giorgio,9,38.174,15.408,05/06/20,4.01
1898 11 03 05 59,Calatino,48,37.259,14.546,05/06/20,4.51
1899 05 03 21 45,Etna - S. Maria Licodia,12,37.621,14.919,05/06/20,2.91
1899 06 27 21 15,Salina,5,38.556,14.844,5,4.16
1899 07 02 04 54,Etna - Guardia (Acireale),9,37.656,15.171,6,3.19
1899 09 23 22 11,Etna - Fossa Dell'Acqua (Acireale),8,37.628,15.139,05/06/20,2.91
1901 05 11 11 10,Etna - Nicolosi,15,37.617,15.029,7,3.75
1901 05 11 18 20,Etna - Nicolosi,13,37.614,15.026,6,3.19
1903 02 10 08 04,Sicilia sud-orientale,9,36.903,15.014,05/06/20,4.32
1903 05 26 16 56,Etna - Trecastagni,3,37.614,15.081,05/06/20,2.91
1903 07 13 08 19,Calatino,46,37.154,14.575,5,4.14
1903 11 20 09 57,Etna - Viagrande,19,37.646,15.108,06/07/20,3.47
1904 07 16 23 35,Salina,1,38.577,14.809,5,4.16
1906 03 19 20 15,Isola di Ustica,1,38.709,13.193,6,4.63
1906 03 22 19 40,Novara di Sicilia,8,38.015,15.13,5,4.16
1906 04 22 23 12,Monti Madonie ?,24,37.955,14.165,5,4.18
1906 06 02 00 10,Etna - Massa Annunziata (Mascalucia),19,37.591,15.039,6,3.19
1906 06 04 23 20,Nicosia,,37.75,14.4,6,5.15
1906 06 10 01 44,Isola di Stromboli,1,38.806,15.235,04/05/20,3.93
1906 09 11 19 03,Tirreno meridionale,9,37.989,13.677,7,5.02
1906 11 20 14 34,Etna - Versante orientale,11,37.764,15.056,05/06/20,2.91
1907 01 21 03 41,Tirreno meridionale,32,38.021,13.552,5,4.14
1907 04 24 21,Monti Sicani,1,37.633,13.637,05/06/20,4.4
1907 05 08,Area Etnea,1,,,,
1907 10 23 20 28 19.00,Aspromonte,274,38.086,15.985,08/09/20,5.96
1907 12 07 21 28,Etna - Fiandaca (Acireale),24,37.632,15.134,07/08/20,4.03
1908 05 05 13 50,Etna - S. Venerina,4,37.686,15.139,6,3.19
1908 05 09 10 38,Etna - Guardia (Acireale),13,37.669,15.165,06/07/20,3.47
1908 05 26 16 47,Etna - Versante orientale,15,37.707,15.091,6,3.19
1908 06 30 05 44,Filicudi,1,38.56,14.581,05/06/20,4.4
1908 08 15 09 40,Monti Nebrodi,16,37.907,14.337,7,5.08
1908 11 05 16 50,Calabria meridionale,24,38.071,16.014,6,4.58
1908 12 10 06 20,Monti Peloritani,64,38.059,15.036,7,5.11
1908 12 28 04 20 27.00,Stretto di Messina,772,38.146,15.687,11,7.1
1909 01 02 01 05,Caltagirone,1,37.231,14.52,07/08/20,5.33
1909 01 03 04 20,Stromboli,1,38.806,15.235,06/07/20,4.86
1909 01 23 18 28,Stretto di Messina,21,38.187,15.624,7,5.15
1909 06 07 01 30,Corleone,16,37.948,13.345,03/04/20,3.73
1909 07 01 06 24,Stretto di Messina,35,38.147,15.601,8,5.49
1909 10 21 05 45,Etna - S. Maria Ammalati (Acireale),18,37.652,15.162,6,3.19
1909 10 21 16 48,Etna - S. Giovanni Bosco (Acireale),13,37.655,15.162,7,3.75
1909 11 20 12 51,Stretto di Messina,2,38.203,15.596,03/04/20,3.46
1909 11 20 20 50,Stretto di Messina,2,38.22,15.638,4,3.7
1909 12 03 11 50,Camporeale,15,37.897,13.096,4,3.7
1910 01 25 08 27,Tirreno meridionale,34,38.453,13.259,5,4.48
1910 02 17 13 27,Isola di Ustica,11,38.709,13.193,5,4.16
1910 03 23 01 55,Etna - Area sommitale,2,37.74,14.997,6,3.19
1910 06 08 11 49,Monti Madonie ?,13,37.87,14.162,04/05/20,3.9
1910 06 13 23 43,Calabria meridionale,14,38.009,15.785,5,4.36
1910 07 03 03 57,Etna - S. Giovanni Montebello (Giarre),9,37.722,15.153,05/06/20,2.91
1910 11 18 02 42,Tirreno meridionale,4,38.495,15.395,5,4.16
1911 03 11 03 29,Calabria meridionale,8,38.333,15.95,5,4.42
1911 06 18 16 59,Calabria meridionale,4,38.222,15.926,5,4.16
1911 09 30 00 40,Etna - Pisano (Zafferana E.),2,37.664,15.109,6,3.19
1911 10 15 08 52,Etna - Fondo Macchia (Giarre),48,37.699,15.154,08/09/20,4.59
1911 10 29 06 49,Mineo,11,37.266,14.691,5,4.16
1912 01 30 21 40,Monti Madonie,7,37.751,14.102,05/06/20,4.4
1912 12 11 10 22,Etna - Versante orientale,8,37.749,15.124,05/06/20,2.91
1912 12 22 08 05,Stretto di Messina,56,38.206,15.617,05/06/20,4.68
1914 05 07 17 36,Etna - Fiandaca (Acireale),11,37.636,15.133,6,3.19
1914 05 07 20 59,Etna - Fossa Dell'Acqua (Acireale),2,37.617,15.154,6,3.19
1914 05 08 18 01,Etna - Linera (S. Venerina),82,37.659,15.149,09/10/20,5.15
1914 05 26 08 49,Etna - Lavinaio (Aci S. Antonio),8,37.632,15.121,7,3.75
1915 06 12 21 11,Lipari,1,38.468,14.958,5,4.16
1915 09 11 08 25,Stretto di Messina,3,38.126,15.627,5,4.16
1916 05 30 08 50,Etna - Ragalna,4,37.62,14.919,05/06/20,2.91
1916 07 03 23 21,Isola di Stromboli,18,38.9,15.291,05/06/20,4.66
1916 09 03 07 45,Salina,5,38.556,14.844,04/05/20,3.93
1916 10 12 17 30,Etna - Pisano (Zafferana E.),2,37.664,15.108,05/06/20,2.91
1916 12 21 23 33,Etna - S. Maria Ammalati (Acireale),4,37.65,15.158,05/06/20,2.91
1917 02 18 20 10,Isola di Ustica,1,38.709,13.193,05/06/20,4.4
1917 07 20 00 00,Etna - Trecastagni,1,37.614,15.081,05/06/20,2.91
1918 06 03 21 45,Etna - Biancavilla,5,37.655,14.851,6,3.19
1918 11 24 13 39,Etna - S. Venerina,1,37.686,15.139,06/07/20,3.47
1918 11 26 00 00,Etna - Area sommitale,1,37.74,14.997,6,3.19
1918 11 26 09 00,Etna - Area sommitale,1,37.74,14.997,6,3.19
1919 03 18 14 17,Messina,2,38.178,15.485,5,4.16
