Lat,Lon,Mw
43.773,11.485999999999999,4.63
43.876999999999995,10.272,3.7
42.753,13.12,6.04
43.282,12.619000000000002,4.86
43.67,12.040999999999999,4.76
43.933,10.915,3.7
43.933,10.915,3.7
43.551,10.309000000000001,3.93
44.288000000000004,11.878,4.63
43.666000000000004,13.368,3.93
43.619,13.513,4.4
43.563,11.165999999999999,4.16
42.626000000000005,12.095,4.86
44.494,11.343,4.4
44.074,10.489,5.64
42.893,12.652000000000001,3.93
43.313,12.761,4.63
43.425,13.005,6.17
43.318000000000005,11.332,5.1
42.083999999999996,13.546,4.4
43.551,10.309000000000001,4.87
42.083999999999996,13.546,4.16
42.083999999999996,13.546,4.16
43.434,12.857999999999999,4.4
